A_Tract_state-change,A%_6_A_tract,C%_6_A_tract,Entropia_A_tract
0.0,1.0,0.0,0.0
0.1429,1.0,0.0,0.2718
0.2857,1.0,0.0,0.2718
0.1429,1.0,0.0,0.4056
0.2857,1.0,0.0,0.5306
0.2857,0.8333,0.1667,0.2718
0.4286,0.8333,0.1667,0.4056
0.4286,0.8333,0.1667,0.5306
0.2857,0.8333,0.1667,0.4056
0.1429,0.8333,0.1667,0.4772
0.2857,0.8333,0.1667,0.6494
0.4286,0.8333,0.1667,0.6494
0.4286,0.8333,0.1667,0.7744
0.2857,0.8333,0.0,0.2718
0.4286,0.8333,0.0,0.5306
0.4286,0.8333,0.0,0.4056
0.2857,0.8333,0.0,0.6494
0.4286,0.8333,0.0,0.6494
0.4286,0.8333,0.0,0.7744
0.2857,0.8333,0.0,0.4056
0.1429,0.8333,0.0,0.4772
0.5714,0.8333,0.1667,0.4056
0.4286,0.8333,0.1667,0.4772
0.5714,0.8333,0.1667,0.6494
0.5714,0.8333,0.1667,0.5306
0.5714,0.8333,0.1667,0.7744
0.2857,0.6667,0.3333,0.4056
0.4286,0.6667,0.3333,0.4772
0.4286,0.6667,0.3333,0.6494
0.2857,0.6667,0.3333,0.4772
0.1429,0.6667,0.3333,0.5
0.2857,0.6667,0.3333,0.7028
0.4286,0.6667,0.3333,0.7028
0.2857,0.6667,0.3333,0.75
0.4286,0.6667,0.3333,0.875
0.4286,0.6667,0.1667,0.5306
0.5714,0.6667,0.1667,0.6494
0.5714,0.6667,0.1667,0.7744
0.4286,0.6667,0.1667,0.7028
0.5714,0.6667,0.1667,0.75
0.5714,0.6667,0.1667,0.875
0.4286,0.6667,0.1667,0.6494
0.4286,0.6667,0.1667,0.75
0.2857,0.6667,0.1667,0.7028
0.4286,0.6667,0.1667,0.875
0.5714,0.8333,0.0,0.5306
0.5714,0.8333,0.0,0.6494
0.5714,0.8333,0.0,0.7744
0.5714,0.8333,0.0,0.4056
0.4286,0.8333,0.0,0.4772
0.2857,0.6667,0.0,0.4056
0.4286,0.6667,0.0,0.6494
0.4286,0.6667,0.0,0.4772
0.2857,0.6667,0.0,0.75
0.4286,0.6667,0.0,0.7028
0.4286,0.6667,0.0,0.875
0.2857,0.6667,0.0,0.4772
0.2857,0.6667,0.0,0.7028
0.1429,0.6667,0.0,0.5
0.4286,0.6667,0.0,0.5306
0.5714,0.6667,0.0,0.7744
0.5714,0.6667,0.0,0.6494
0.5714,0.6667,0.0,0.875
0.5714,0.6667,0.0,0.75
0.4286,0.6667,0.0,0.75
0.5714,0.6667,0.3333,0.4056
0.7143,0.6667,0.3333,0.4772
0.7143,0.6667,0.3333,0.6494
0.5714,0.6667,0.3333,0.4772
0.4286,0.6667,0.3333,0.5
0.5714,0.6667,0.3333,0.7028
0.7143,0.6667,0.3333,0.7028
0.5714,0.6667,0.3333,0.75
0.7143,0.6667,0.3333,0.875
0.5714,0.6667,0.1667,0.5306
0.7143,0.6667,0.1667,0.6494
0.7143,0.6667,0.1667,0.7744
0.5714,0.6667,0.1667,0.7028
0.7143,0.6667,0.1667,0.75
0.7143,0.6667,0.1667,0.875
0.5714,0.6667,0.3333,0.6494
0.4286,0.6667,0.3333,0.75
0.5714,0.6667,0.3333,0.875
0.2857,0.5,0.5,0.4772
0.4286,0.5,0.5,0.5
0.4286,0.5,0.5,0.7028
0.2857,0.5,0.5,0.5
0.1429,0.5,0.5,0.4772
0.2857,0.5,0.5,0.7028
0.2857,0.5,0.5,0.7806
0.4286,0.5,0.5,0.9056
0.4286,0.5,0.3333,0.6494
0.5714,0.5,0.3333,0.7028
0.5714,0.5,0.3333,0.75
0.5714,0.5,0.3333,0.875
0.4286,0.5,0.3333,0.7028
0.5714,0.5,0.3333,0.7806
0.5714,0.5,0.3333,0.9056
0.4286,0.5,0.3333,0.75
0.4286,0.5,0.3333,0.7806
0.2857,0.5,0.3333,0.7806
0.4286,0.5,0.3333,0.9528
0.5714,0.5,0.3333,0.9528
0.5714,0.5,0.3333,0.6494
0.7143,0.5,0.3333,0.7028
0.7143,0.5,0.3333,0.75
0.7143,0.5,0.3333,0.875
0.7143,0.5,0.3333,0.7806
0.7143,0.5,0.3333,0.9528
0.7143,0.5,0.3333,0.9056
0.4286,0.5,0.1667,0.6494
0.5714,0.5,0.1667,0.75
0.5714,0.5,0.1667,0.7028
0.5714,0.5,0.1667,0.875
0.4286,0.5,0.1667,0.7806
0.5714,0.5,0.1667,0.7806
0.5714,0.5,0.1667,0.9528
0.4286,0.5,0.1667,0.7028
0.2857,0.5,0.1667,0.7028
0.4286,0.5,0.1667,0.9056
0.5714,0.5,0.1667,0.9056
0.4286,0.5,0.1667,0.9528
0.5714,0.5,0.1667,0.7744
0.7143,0.5,0.1667,0.875
0.7143,0.5,0.1667,0.9528
0.5714,0.6667,0.0,0.4056
0.7143,0.6667,0.0,0.6494
0.7143,0.6667,0.0,0.4772
0.7143,0.6667,0.0,0.7028
0.7143,0.6667,0.0,0.875
0.5714,0.6667,0.0,0.4772
0.5714,0.6667,0.0,0.7028
0.4286,0.6667,0.0,0.5
0.5714,0.6667,0.0,0.5306
0.7143,0.6667,0.0,0.7744
0.7143,0.6667,0.0,0.75
0.2857,0.5,0.3333,0.7028
0.4286,0.5,0.3333,0.9056
0.5714,0.5,0.1667,0.6494
0.7143,0.5,0.1667,0.75
0.7143,0.5,0.1667,0.7028
0.7143,0.5,0.1667,0.7806
0.7143,0.5,0.1667,0.9056
0.4286,0.5,0.1667,0.75
0.2857,0.5,0.1667,0.7806
0.2857,0.5,0.0,0.4772
0.4286,0.5,0.0,0.7028
0.4286,0.5,0.0,0.5
0.2857,0.5,0.0,0.7806
0.4286,0.5,0.0,0.9056
0.2857,0.5,0.0,0.5
0.2857,0.5,0.0,0.7028
0.1429,0.5,0.0,0.4772
0.4286,0.5,0.0,0.6494
0.5714,0.5,0.0,0.875
0.5714,0.5,0.0,0.7028
0.5714,0.5,0.0,0.75
0.4286,0.5,0.0,0.9528
0.5714,0.5,0.0,0.9056
0.5714,0.5,0.0,0.9528
0.5714,0.5,0.0,0.7806
0.4286,0.5,0.0,0.75
0.4286,0.5,0.0,0.7806
0.5714,0.5,0.0,0.6494
0.7143,0.5,0.0,0.875
0.7143,0.5,0.0,0.7028
0.7143,0.5,0.0,0.75
0.7143,0.5,0.0,0.9056
0.7143,0.5,0.0,0.9528
0.7143,0.5,0.0,0.7806
0.8571,0.6667,0.3333,0.4772
0.7143,0.6667,0.3333,0.5
0.8571,0.6667,0.3333,0.7028
0.8571,0.6667,0.3333,0.6494
0.7143,0.6667,0.3333,0.75
0.8571,0.6667,0.3333,0.875
0.5714,0.5,0.5,0.4772
0.7143,0.5,0.5,0.5
0.7143,0.5,0.5,0.7028
0.5714,0.5,0.5,0.5
0.4286,0.5,0.5,0.4772
0.5714,0.5,0.5,0.7028
0.5714,0.5,0.5,0.7806
0.7143,0.5,0.5,0.9056
0.7143,0.5,0.3333,0.6494
0.8571,0.5,0.3333,0.7028
0.8571,0.5,0.3333,0.75
0.8571,0.5,0.3333,0.875
0.8571,0.5,0.3333,0.7806
0.8571,0.5,0.3333,0.9056
0.8571,0.5,0.3333,0.9528
0.8571,0.6667,0.1667,0.6494
0.7143,0.6667,0.1667,0.7028
0.8571,0.6667,0.1667,0.75
0.8571,0.6667,0.1667,0.875
0.8571,0.6667,0.1667,0.7744
0.7143,0.5,0.1667,0.7744
0.8571,0.5,0.1667,0.875
0.8571,0.5,0.1667,0.9528
0.4286,0.5,0.5,0.7806
0.5714,0.5,0.5,0.9056
0.2857,0.3333,0.6667,0.5
0.4286,0.3333,0.6667,0.4772
0.4286,0.3333,0.6667,0.7028
0.2857,0.3333,0.6667,0.4772
0.1429,0.3333,0.6667,0.4056
0.2857,0.3333,0.6667,0.6494
0.4286,0.3333,0.6667,0.6494
0.2857,0.3333,0.6667,0.75
0.4286,0.3333,0.6667,0.875
0.4286,0.3333,0.5,0.7028
0.5714,0.3333,0.5,0.7028
0.5714,0.3333,0.5,0.7806
0.5714,0.3333,0.5,0.9056
0.4286,0.3333,0.5,0.6494
0.5714,0.3333,0.5,0.75
0.5714,0.3333,0.5,0.875
0.4286,0.3333,0.5,0.7806
0.4286,0.3333,0.5,0.75
0.2857,0.3333,0.5,0.7806
0.4286,0.3333,0.5,0.9528
0.5714,0.3333,0.5,0.9528
0.7143,0.3333,0.5,0.7028
0.7143,0.3333,0.5,0.7806
0.7143,0.3333,0.5,0.9056
0.7143,0.3333,0.5,0.75
0.7143,0.3333,0.5,0.9528
0.7143,0.3333,0.5,0.875
0.4286,0.3333,0.3333,0.75
0.5714,0.3333,0.3333,0.7806
0.5714,0.3333,0.3333,0.9528
0.4286,0.3333,0.3333,0.7806
0.2857,0.3333,0.3333,0.75
0.4286,0.3333,0.3333,0.9528
0.4286,0.3333,0.3333,1.0
0.5714,0.3333,0.3333,0.875
0.7143,0.3333,0.3333,0.9056
0.7143,0.3333,0.3333,0.9528
0.7143,0.3333,0.3333,1.0
0.5714,0.3333,0.3333,1.0
0.7143,0.5,0.1667,0.6494
0.8571,0.5,0.1667,0.75
0.8571,0.5,0.1667,0.7028
0.8571,0.5,0.1667,0.7806
0.8571,0.5,0.1667,0.9056
0.7143,0.3333,0.3333,0.75
0.8571,0.3333,0.3333,0.7806
0.8571,0.3333,0.3333,0.9528
0.7143,0.3333,0.3333,0.7806
0.5714,0.3333,0.3333,0.75
0.7143,0.3333,0.3333,0.875
0.8571,0.3333,0.3333,0.9056
0.8571,0.3333,0.3333,1.0
0.4286,0.3333,0.1667,0.7028
0.5714,0.3333,0.1667,0.7806
0.5714,0.3333,0.1667,0.7028
0.5714,0.3333,0.1667,0.9056
0.4286,0.3333,0.1667,0.7806
0.5714,0.3333,0.1667,0.75
0.5714,0.3333,0.1667,0.9528
0.4286,0.3333,0.1667,0.75
0.2857,0.3333,0.1667,0.6494
0.4286,0.3333,0.1667,0.875
0.5714,0.3333,0.1667,0.875
0.4286,0.3333,0.1667,0.9528
0.7143,0.3333,0.1667,0.9528
0.7143,0.3333,0.1667,0.9056
0.7143,0.3333,0.1667,1.0
0.5714,0.3333,0.1667,1.0
0.7143,0.3333,0.1667,0.875
0.8571,0.3333,0.1667,0.9528
0.8571,0.3333,0.1667,0.9056
0.8571,0.3333,0.1667,1.0
0.8571,0.6667,0.0,0.6494
0.8571,0.6667,0.0,0.7028
0.8571,0.6667,0.0,0.875
0.8571,0.6667,0.0,0.4772
0.7143,0.6667,0.0,0.5
0.5714,0.5,0.0,0.4772
0.7143,0.5,0.0,0.5
0.5714,0.5,0.0,0.5
0.4286,0.5,0.0,0.4772
0.7143,0.5,0.0,0.6494
0.8571,0.5,0.0,0.875
0.8571,0.5,0.0,0.7028
0.8571,0.5,0.0,0.75
0.8571,0.5,0.0,0.9056
0.8571,0.5,0.0,0.9528
0.8571,0.5,0.0,0.7806
0.8571,0.6667,0.0,0.7744
0.8571,0.6667,0.0,0.75
0.2857,0.3333,0.5,0.6494
0.4286,0.3333,0.5,0.875
0.7143,0.3333,0.1667,0.7806
0.7143,0.3333,0.1667,0.7028
0.7143,0.3333,0.1667,0.75
0.4286,0.3333,0.1667,0.6494
0.2857,0.3333,0.1667,0.7806
0.2857,0.3333,0.0,0.5
0.4286,0.3333,0.0,0.7028
0.4286,0.3333,0.0,0.4772
0.2857,0.3333,0.0,0.75
0.4286,0.3333,0.0,0.6494
0.4286,0.3333,0.0,0.875
0.2857,0.3333,0.0,0.4772
0.2857,0.3333,0.0,0.6494
0.1429,0.3333,0.0,0.4056
0.5714,0.3333,0.0,0.9056
0.5714,0.3333,0.0,0.7028
0.5714,0.3333,0.0,0.7806
0.4286,0.3333,0.0,0.9528
0.5714,0.3333,0.0,0.875
0.5714,0.3333,0.0,0.9528
0.5714,0.3333,0.0,0.75
0.4286,0.3333,0.0,0.7806
0.4286,0.3333,0.0,0.75
0.2857,0.3333,0.0,0.7806
0.7143,0.3333,0.0,0.9056
0.7143,0.3333,0.0,0.7028
0.7143,0.3333,0.0,0.7806
0.7143,0.3333,0.0,0.875
0.7143,0.3333,0.0,0.9528
0.7143,0.3333,0.0,0.75
0.4286,0.3333,0.0,1.0
0.5714,0.3333,0.3333,0.9056
0.4286,0.3333,0.3333,0.875
0.8571,0.3333,0.0,0.9528
0.8571,0.3333,0.0,0.7806
0.7143,0.3333,0.0,1.0
0.5714,0.3333,0.0,1.0
0.8571,0.5,0.5,0.4772
1.0,0.5,0.5,0.5
1.0,0.5,0.5,0.7028
0.8571,0.5,0.5,0.5
0.7143,0.5,0.5,0.4772
0.8571,0.5,0.5,0.7028
0.8571,0.5,0.5,0.7806
1.0,0.5,0.5,0.9056
0.8571,0.5,0.3333,0.6494
1.0,0.5,0.3333,0.7028
1.0,0.5,0.3333,0.75
1.0,0.5,0.3333,0.875
1.0,0.5,0.3333,0.7806
1.0,0.5,0.3333,0.9056
1.0,0.5,0.3333,0.9528
0.7143,0.5,0.5,0.7806
0.8571,0.5,0.5,0.9056
0.5714,0.3333,0.6667,0.5
0.7143,0.3333,0.6667,0.4772
0.7143,0.3333,0.6667,0.7028
0.5714,0.3333,0.6667,0.4772
0.4286,0.3333,0.6667,0.4056
0.5714,0.3333,0.6667,0.6494
0.7143,0.3333,0.6667,0.6494
0.5714,0.3333,0.6667,0.75
0.7143,0.3333,0.6667,0.875
0.8571,0.3333,0.5,0.7028
0.8571,0.3333,0.5,0.7806
0.8571,0.3333,0.5,0.9056
0.7143,0.3333,0.5,0.6494
0.8571,0.3333,0.5,0.75
0.8571,0.3333,0.5,0.875
0.8571,0.3333,0.5,0.9528
1.0,0.3333,0.5,0.7028
1.0,0.3333,0.5,0.7806
1.0,0.3333,0.5,0.9056
1.0,0.3333,0.5,0.75
1.0,0.3333,0.5,0.9528
1.0,0.3333,0.5,0.875
0.8571,0.3333,0.3333,0.875
1.0,0.3333,0.3333,0.9056
1.0,0.3333,0.3333,0.9528
1.0,0.3333,0.3333,1.0
0.8571,0.5,0.1667,0.6494
1.0,0.5,0.1667,0.75
1.0,0.5,0.1667,0.7028
1.0,0.5,0.1667,0.875
1.0,0.5,0.1667,0.7806
1.0,0.5,0.1667,0.9528
1.0,0.5,0.1667,0.9056
0.8571,0.5,0.1667,0.7744
0.5714,0.3333,0.5,0.6494
0.8571,0.3333,0.3333,0.75
1.0,0.3333,0.3333,0.7806
0.8571,0.3333,0.1667,0.875
1.0,0.3333,0.1667,0.9528
1.0,0.3333,0.1667,0.9056
1.0,0.3333,0.1667,1.0
0.5714,0.3333,0.6667,0.7028
0.4286,0.3333,0.6667,0.75
0.5714,0.3333,0.6667,0.875
0.2857,0.1667,0.8333,0.4772
0.4286,0.1667,0.8333,0.4056
0.4286,0.1667,0.8333,0.6494
0.2857,0.1667,0.8333,0.4056
0.1429,0.1667,0.8333,0.2718
0.2857,0.1667,0.8333,0.5306
0.4286,0.1667,0.8333,0.5306
0.2857,0.1667,0.8333,0.6494
0.4286,0.1667,0.8333,0.7744
0.4286,0.1667,0.6667,0.7028
0.5714,0.1667,0.6667,0.6494
0.5714,0.1667,0.6667,0.75
0.5714,0.1667,0.6667,0.875
0.4286,0.1667,0.6667,0.5306
0.5714,0.1667,0.6667,0.7744
0.4286,0.1667,0.6667,0.75
0.4286,0.1667,0.6667,0.6494
0.2857,0.1667,0.6667,0.7028
0.4286,0.1667,0.6667,0.875
0.5714,0.1667,0.6667,0.7028
0.7143,0.1667,0.6667,0.6494
0.7143,0.1667,0.6667,0.75
0.7143,0.1667,0.6667,0.875
0.7143,0.1667,0.6667,0.7744
0.4286,0.1667,0.5,0.7806
0.5714,0.1667,0.5,0.75
0.5714,0.1667,0.5,0.7806
0.5714,0.1667,0.5,0.9528
0.4286,0.1667,0.5,0.6494
0.5714,0.1667,0.5,0.7028
0.5714,0.1667,0.5,0.875
0.4286,0.1667,0.5,0.7028
0.2857,0.1667,0.5,0.7028
0.4286,0.1667,0.5,0.9056
0.5714,0.1667,0.5,0.9056
0.4286,0.1667,0.5,0.9528
0.7143,0.1667,0.5,0.875
0.7143,0.1667,0.5,0.9528
0.5714,0.1667,0.5,0.7744
0.7143,0.1667,0.5,0.7806
0.8571,0.1667,0.5,0.75
0.8571,0.1667,0.5,0.7806
0.8571,0.1667,0.5,0.9528
0.7143,0.1667,0.5,0.6494
0.8571,0.1667,0.5,0.7028
0.8571,0.1667,0.5,0.875
0.7143,0.1667,0.5,0.7028
0.7143,0.1667,0.5,0.9056
0.8571,0.1667,0.5,0.9056
0.7143,0.1667,0.5,0.7744
0.7143,0.1667,0.5,0.75
0.4286,0.1667,0.3333,0.7806
0.5714,0.1667,0.3333,0.7806
0.5714,0.1667,0.3333,0.75
0.5714,0.1667,0.3333,0.9528
0.4286,0.1667,0.3333,0.7028
0.5714,0.1667,0.3333,0.7028
0.5714,0.1667,0.3333,0.9056
0.4286,0.1667,0.3333,0.75
0.2857,0.1667,0.3333,0.6494
0.4286,0.1667,0.3333,0.875
0.5714,0.1667,0.3333,0.875
0.4286,0.1667,0.3333,0.9528
0.7143,0.1667,0.3333,0.9528
0.7143,0.1667,0.3333,1.0
0.7143,0.1667,0.3333,0.9056
0.5714,0.1667,0.3333,1.0
0.8571,0.1667,0.3333,0.9528
0.8571,0.1667,0.3333,1.0
0.7143,0.1667,0.3333,0.875
0.8571,0.1667,0.3333,0.9056
0.8571,0.3333,0.1667,0.7806
0.8571,0.3333,0.1667,0.7028
0.8571,0.3333,0.1667,0.75
0.5714,0.3333,0.1667,0.6494
1.0,0.1667,0.5,0.75
1.0,0.1667,0.5,0.7806
1.0,0.1667,0.5,0.9528
1.0,0.1667,0.5,0.7028
1.0,0.1667,0.5,0.9056
